scene_id,prompt,video_A_url,video_B_url
1,"""The art studio features an easel positioned near a large window, providing ample natural light. A table with paintbrushes, palettes, and jars of paint is placed to the side, with a stool positioned in front of the easel.""",https://sceneprog-nautilus.s3.us-west-1.amazonaws.com/cvpr/sceneprog/art_studio_0.mp4,https://sceneprog-nautilus.s3.us-west-1.amazonaws.com/cvpr/holodeck/art_studio_0.mp4
2,"""The room features a sculpture workspace, with a pedestal holding a clay model in progress. A nearby table is covered with sculpting tools, and a small bookshelf holds reference books and inspiration materials.""",https://sceneprog-nautilus.s3.us-west-1.amazonaws.com/cvpr/sceneprog/art_studio_1.mp4,https://sceneprog-nautilus.s3.us-west-1.amazonaws.com/cvpr/holodeck/art_studio_1.mp4
3,"""A large table occupies the center of the studio, surrounded by chairs. The table is scattered with papers, pencils, and watercolors, and a wall-mounted rack holds rolled-up paper and sketches.""",https://sceneprog-nautilus.s3.us-west-1.amazonaws.com/cvpr/sceneprog/art_studio_2.mp4,https://sceneprog-nautilus.s3.us-west-1.amazonaws.com/cvpr/holodeck/art_studio_2.mp4
4,"""The bakery includes a central island with a marble countertop, showcasing a variety of cakes and pies. Along the walls, there are wooden shelves. A small searing area is placed along the front while a cashier desk is placed in the back.""",https://sceneprog-nautilus.s3.us-west-1.amazonaws.com/cvpr/sceneprog/bakery_1.mp4,https://sceneprog-nautilus.s3.us-west-1.amazonaws.com/cvpr/holodeck/bakery_1.mp4
5,"""The bakery’s layout includes refrigerated display cases along the left and back wall. In the center, a long wooden table displays freshly baked loaves and pastries. A few tables and chairs are placed in the front for customers.""",https://sceneprog-nautilus.s3.us-west-1.amazonaws.com/cvpr/sceneprog/bakery_2.mp4,https://sceneprog-nautilus.s3.us-west-1.amazonaws.com/cvpr/holodeck/bakery_2.mp4
6,"""The bar room features a long counter in the center of the room, with a polished wooden finish, lined with high-back stools. Behind the counter, shelves placed along the back wall display an assortment of liquor bottles and glasses. The scene is illuminated by warm lighting.""",https://sceneprog-nautilus.s3.us-west-1.amazonaws.com/cvpr/sceneprog/bar_room_0.mp4,https://sceneprog-nautilus.s3.us-west-1.amazonaws.com/cvpr/holodeck/bar_room_0.mp4
7,"""A spacious bar scene includes a large rectangular counter with seating on all sides. Above the counter, hanging pendant lights provide a soft glow, while a large TV on the opposite wall streams live sports""",https://sceneprog-nautilus.s3.us-west-1.amazonaws.com/cvpr/sceneprog/bar_room_1.mp4,https://sceneprog-nautilus.s3.us-west-1.amazonaws.com/cvpr/holodeck/bar_room_1.mp4
8,"""The bar room is designed with a private lounge area, featuring leather sofas and a coffee table. Along one wall, a compact bar counter is stocked with a selection of spirits. There is a small refrigerator for chilled beverages placed in the corner.""",https://sceneprog-nautilus.s3.us-west-1.amazonaws.com/cvpr/sceneprog/bar_room_2.mp4,https://sceneprog-nautilus.s3.us-west-1.amazonaws.com/cvpr/holodeck/bar_room_2.mp4
9,"""The bedroom features a king-sized bed centered against the back wall, flanked by two identical nightstands, each holding a sleek table lamp. A cushioned bench sits at the foot of the bed, and a large wardrobe is placed along one side of the room.""",https://sceneprog-nautilus.s3.us-west-1.amazonaws.com/cvpr/sceneprog/bed_room_0.mp4,https://sceneprog-nautilus.s3.us-west-1.amazonaws.com/cvpr/holodeck/bed_room_0.mp4
10,"""The room includes a double bed with two small nightstands on either side, each featuring a decor item. Across from the bed is a TV mounted on a low media console, and to one corner of the room lies an armchair with a side table.""",https://sceneprog-nautilus.s3.us-west-1.amazonaws.com/cvpr/sceneprog/bed_room_1.mp4,https://sceneprog-nautilus.s3.us-west-1.amazonaws.com/cvpr/holodeck/bed_room_1.mp4
